street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
223,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1336,462700,1910,346
235,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2488,627100,1910,251
241,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1895,566000,1910,298
1130,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1550,625800,1900,403
1124,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1376,528500,1900,384
1122,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,816,554000,1940,678
1112,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2128,713500,1917,335
25,BOARDMAN ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1224,489000,1959,399
37,BOARDMAN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2312,689400,1995,298
47,BOARDMAN ST,East Boston,2128,Single Fam Dwelling,Bw - Bungalow,1712,697700,1950,407
10,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1392,606500,2011,435
12,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1392,605900,2011,435
14,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1624,849700,2006,523
16,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1624,850800,2006,523
18,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1638,844000,2015,515
20,FORD ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1638,843900,2015,515
22,BREED ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1638,849200,2015,518
24,BREED ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1638,828100,2015,505
70,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1494,705000,1943,471
44,BREED ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1370,703100,1920,513
53,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1904,821900,1950,431
95,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Rr - Raised Ranch,1196,579200,1989,484
99,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1719,583700,1960,339
101,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1680,873600,1934,520
105,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1332,818000,1960,613
109,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1389,772500,1920,556
125,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Rr - Raised Ranch,2983,899400,1965,301
131,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1178,556500,1940,472
135,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1240,595100,1885,479
141,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1350,699700,1968,518
93,BOARDMAN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2730,906200,1963,331
23,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1260,558100,1910,442
59,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1846,610900,1910,330
135,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1402,499000,1910,355
